Name,Date_Birth,Date_Start_PM,Age_Start_PM,Date_End_PM,Age_End_PM,Date_Death,Age_Death,Party
Robert Walpole,1676-08-26,1721-04-04,44.6032430508498,1742-02-11,65.4606186300882,1745-03-18,68.5571914549922,WHIG
Spencer Compton,1673-03-18,1742-02-16,68.9158572729077,1743-07-02,70.287548683409,1743-07-02,70.287548683409,WHIG
Henry Pelham,1694-09-25,1743-08-27,48.9181844938637,1754-03-06,59.4426990287275,1754-03-06,59.4426990287275,WHIG
Thomas Pelham-Holles,1693-07-21,1754-03-16,60.6501160188094,1762-05-26,68.844671690726,1768-11-17,75.3252975762678,WHIG
William Cavendish,1720-05-08,1756-11-16,36.5264173802337,1757-06-25,37.1314948287781,1764-10-02,44.4033758393396,WHIG
John Stuart,1713-05-25,1762-05-26,49.0030596110803,1763-04-08,49.8709761322957,1792-03-10,78.7942257541223,TORY
George Grenville,1712-10-14,1763-04-16,50.50343265091,1765-07-13,52.7457784896336,1770-11-13,58.0819592462542,WHIG
Charles Watson-Wentworth,1730-05-13,1765-07-13,35.1684155047674,1782-07-01,52.1352252270752,1782-07-01,52.1352252270752,WHIG
William Pitt the Elder,1708-11-15,1766-07-30,57.7041280792898,1768-10-14,59.9136190339295,1778-05-11,69.4853419303613,WHIG
Augustus FitzRoy,1735-09-28,1768-10-14,33.0465375743513,1770-01-28,34.3360917746429,1811-03-14,75.4567171126033,WHIG
Frederick North,1732-04-13,1770-01-28,37.7940683244694,1782-03-22,49.9394238074704,1792-08-05,60.3133534569498,TORY
William Petty,1737-05-02,1782-07-04,45.1727277083034,1783-04-02,45.9174384142043,1805-05-07,68.0123479606015,WHIG
William Cavendish-Bentinck,1738-04-14,1783-04-02,44.9673846827792,1809-10-04,71.473062417435,1809-10-30,71.5442479996167,WHIG
William Pitt the Younger,1759-05-28,1783-12-19,24.5617637596939,1806-01-23,46.6566733060912,1806-01-23,46.6566733060912,TORY
Henry Addington,1757-05-30,1801-03-17,43.7955604837882,1804-05-10,46.944153541825,1844-02-15,86.712252818333,TORY
William Grenville,1759-10-25,1806-02-11,46.2980074881757,1807-03-31,47.4287630820619,1834-01-12,74.2164452384375,WHIG
Spencer Perceval,1762-11-01,1809-10-04,46.922250285769,1812-05-11,49.5232619424081,1812-05-11,49.5232619424081,TORY
Robert Jenkinson,1770-06-07,1812-06-08,42.0022313942107,1827-04-09,56.8362115580744,1828-12-04,58.4926452973025,TORY
